Virginia Department Of Education ,,,,,,,,,,,,,,,,,,,,
Public School Listing,,,,,,,,,,,,,,,,,,,,
Division  Num ,Division Name ,NCES School Num ,School  Num ,School Name ,Low  Grades ,High  Grades ,Division  Description ,School Description ,Grade  Standard ,Schedule ,Principal ,Address1 ,Address2 ,City ,State ,Zip ,Phone  Number ,Fall  Membership  Schools,,
118,Norfolk Public Schools,5.10267E+11,670,Larrymore Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. David  Faircloth ,7600 Halprin Dr,,Norfolk,VA,23518,757-531-3070,Membership,,
118,Norfolk Public Schools,5.10267E+11,520,Lindenwood Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Cheryl  Jordan ,2700 Ludlow St,,Norfolk,VA,23504,757-628-2577,Membership,,
118,Norfolk Public Schools,5.10267E+11,682,Little Creek Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Cheryl  Coghlan ,7900 Tarpon Place,,Norfolk,VA,23518,757-531-3080,Membership,,
118,Norfolk Public Schools,,2118,Little Creek Elementary Annex,,,Local Education Agency,Annex to a public school,,Traditional Elementary,   ,7901 Nancy Drive,,Norfolk,VA,23518,757-531-3080,Non-Membership,,
118,Norfolk Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,7 period,Dennis  Otter ,800 City Hall Ave.,,Norfolk,VA,23510,757-628-3948,Membership,,
118,Norfolk Public Schools,5.10267E+11,110,Madison Alternative Center,,,Local Education Agency,Public center - Alternative,,8 A/B,   ,3700 Bowdens Ferry Rd,,Norfolk,VA,23508,757-628-3417,Non-Membership,,
118,Norfolk Public Schools,,2123,Marine Institute,,,Local Education Agency,SNP feeding site,,,   ,351 Avory Ave.,,Norfolk,VA,23509,757-628-3830,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,460,Mary Calcott Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Danielle  McIntyre ,137 Westmont Avenue,,Norfolk,VA,23503,757-531-3039,Membership,,
118,Norfolk Public Schools,5.10267E+11,10,Matthew Fontaine Maury High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Ms. Karen  Berg ,322 Shirley Ave,,Norfolk,VA,23517,757-628-3344,Membership,,
118,Norfolk Public Schools,5.10267E+11,2116,Norfolk Alternative High,,,Local Education Agency,Public center - Alternative,,,   ,3700 Bowden Ferry Rd,,Norfolk,VA,23505,757-628-3417,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,2115,Norfolk Alternative Middle,,,Local Education Agency,Public center - Alternative,,,   ,3700 Bowden Ferry Rd,,Norfolk,VA,23508,757-628-3417,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,2113,Norfolk Re-Ed School - SECEP - Oakwood,,,Local Education Agency,SNP feeding site,,,   ,2861 E. Princess Anne Rd,,Norfolk,VA,23504,757-892-6100,Non-Membership,,
118,Norfolk Public Schools,,2117,Norfolk Tech/Voc Annex,,,Local Education Agency,Annex to a public school,,,   ,1330 N. Military Hwy.,,Norfolk,VA,23502,757-628-3830,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,870,Norfolk Technical Center,,,Local Education Agency,Public center - Career and Technical Ed.,,8 A/B,   ,1330 N Military Hwy,,Norfolk,VA,23502,757-892-3300,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,490,Northside Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Letisha  Lawrence ,8720 Granby St,,Norfolk,VA,23503,757-531-3150,Membership,,
118,Norfolk Public Schools,5.10267E+11,620,Norview Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kathryn  Caple ,6401 Chesapeake Blvd,,Norfolk,VA,23513,757-852-4660,Membership,,
118,Norfolk Public Schools,5.10267E+11,580,Norview High,9,12,Local Education Agency,Public school - Regular,High,8 A/B,Mr. Walter  Brower ,6501 Chesapeake Blvd,,Norfolk,VA,23513,757-852-4500,Membership,,
118,Norfolk Public Schools,5.10267E+11,570,Norview Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Brandi  Smedley ,6325 Sewells Point Rd,,Norfolk,VA,23513,757-852-4600,Membership,,
118,Norfolk Public Schools,5.10267E+11,190,Ocean View Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kirstin  New ,350 W. Government Ave.,,Norfolk,VA,23503,757-531-3105,Membership,,
118,Norfolk Public Schools,5.10267E+11,630,Oceanair Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Katrina  Rountree-Price ,600 Dudley Avenue,,Norfolk,VA,23503,757-531-3095,Membership,,
118,Norfolk Public Schools,5.10267E+11,530,P.B. Young Sr. Elementary,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Candiase  Driver ,543 E. Olney Rd,,Norfolk,VA,23510,757-628-2588,Membership,,
118,Norfolk Public Schools,5.10267E+11,480,Richard Bowling Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Yukita  Boone ,2700 E. Princess Anne Rd.,,Norfolk,VA,23504,757-628-2515,Membership,,
118,Norfolk Public Schools,,2120,SECEP - TRAEP - Oakwood,,,Local Education Agency,SNP feeding site,,,   ,900 Ashbury Ave.,,Norfolk,VA,23513,757-628-3830,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,850,Sewells Point Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Cleveland  Walton ,7928 Hampton Blvd,,Norfolk,VA,23505,757-451-4160,Membership,,
118,Norfolk Public Schools,5.10267E+11,650,Sherwood Forest Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dennis  Holland ,3035 Sherwood Forest Lane,,Norfolk,VA,23513,757-852-4500,Membership,,
118,Norfolk Public Schools,5.10267E+11,770,Southside STEM Academy at Campostella,KG,8,Local Education Agency,Public school - Regular,Combined,Traditional Elementary,Lenthia  Willie-Clark ,1106 Campostella Rd.,,Norfolk,VA,23523,757-628-2555,Membership,,
118,Norfolk Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,Ms. Sallie  Cooke ,,,,,,,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,820,St. Helena Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Angel  Robinson ,903 S Main St,,Norfolk,VA,23523,757-494-3884,Membership,,
118,Norfolk Public Schools,5.10267E+11,500,Suburban Park Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Andrea  Jennings ,310 Thole St,,Norfolk,VA,23505,757-531-3118,Membership,,
118,Norfolk Public Schools,5.10267E+11,100,Tanners Creek Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Rhonda  Harris ,1335 Longdale Dr,,Norfolk,VA,23513,757-852-4555,Membership,,
118,Norfolk Public Schools,5.10267E+11,800,Tarrallton Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Michael  Swan ,2080 Tarrallton Dr,,Norfolk,VA,23518,757-531-1800,Membership,,
118,Norfolk Public Schools,5.10267E+11,2127,The Academy of International Studies at Rosemont,,,Local Education Agency,Public center - Alternative,,8 A/B,Dorie  Banks ,1330 Branch Rd.,,Norfolk,VA,23513,757-852-4610,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,780,Tidewater Park Elementary,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Sharon  Phillips ,1045 E Brambleton Ave,,Norfolk,VA,23504,757-628-2500,Membership,,
118,Norfolk Public Schools,,721,Virtual Scholars Academy Elementary,,,Local Education Agency,Public center - Virtual,,,   ,800 E City Hall Ave. Room 1200,,Norfolk,VA,23510,757-628-3481,Non-Membership,,
118,Norfolk Public Schools,,722,Virtual Scholars Academy Secondary,,,Local Education Agency,Public center - Virtual,,,   ,800 E Clay Hall Ave Room 1200,,Norfolk,VA,23510,757-628-3481,Non-Membership,,
118,Norfolk Public Schools,5.10267E+11,150,Walter Herron Taylor Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Charlene  Feliton ,1122 W. Princess Anne Road,,Norfolk,VA,23507,757-628-2525,Membership,,
118,Norfolk Public Schools,5.10267E+11,471,Willard Model Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Julie  Honeycutt ,1511 Willow Wood Dr,,Norfolk,VA,23509,757-628-2721,Membership,,
118,Norfolk Public Schools,5.10267E+11,30,William H. Ruffner Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Jeryl  Scott ,610 May Ave.,,Norfolk,VA,23504,757-628-2466,Membership,,
118,Norfolk Public Schools,5.10267E+11,860,Willoughby Early Childhood Center,PK,PK,Local Education Agency,Public school - Preschool,Elementary,Traditional Elementary,Laundrell  Gates ,9500 4th View St,,Norfolk,VA,23503,757-531-3127,Membership,,
65,Northampton County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
65,Northampton County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
65,Northampton County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
65,Northampton County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
65,Northampton County Public Schools,5.10271E+11,452,Kiptopeke Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Subrina  Parker ,24023 Fairview Rd,,Cape Charles,VA,23310,757-678-5151,Membership,,
65,Northampton County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 360,,Manchiponga,VA,23405,757-678-8006,Membership,,
65,Northampton County Public Schools,5.10271E+11,350,Northampton High,9,12,Local Education Agency,Public school - Regular,High,7 period,Mr. Michael  Myers ,16041 Courthouse Rd,,Eastville,VA,23347,757-678-5151,Membership,,
65,Northampton County Public Schools,5.10271E+11,360,Northampton Middle,7,8,Local Education Agency,Public school - Regular,Middle,7 period,Dr. Ron  Yorko ,16041 Courthouse Road,,Eastville,VA,23347,757-678-5151,Membership,,
65,Northampton County Public Schools,5.10271E+11,451,Occohannock Elementary,PK,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Fay  Joyner ,4208 Seaside Rd,,Exmore,VA,23350,757-678-5151,Membership,,
65,Northampton County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
65,Northampton County Public Schools,5.10271E+11,453,The T.E.C.H. Center,,,Local Education Agency,Public center - Alternative,,7 period,   ,7207 Young St,,Machipongo,VA,23405,757-678-5151,Non-Membership,,
66,Northumberland County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
66,Northumberland County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
66,Northumberland County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
66,Northumberland County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
66,Northumberland County Public Schools,5.10273E+11,331,Northumberland Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Martha  Williams ,757 Academic Lane,,Heathsville,VA,22473,804-580-8032,Membership,,
66,Northumberland County Public Schools,5.10273E+11,40,Northumberland High,9,12,Local Education Agency,Public school - Regular,High,4X4,Dr. Travis  Burns ,201 Academic Lane,,Heathsville,VA,22473,804-580-5192,Membership,,
66,Northumberland County Public Schools,5.10273E+11,210,Northumberland Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Mr. Patrick  Simmons ,175 Academic Lane,,Heathsville,VA,22473,804-580-5753,Membership,,
66,Northumberland County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
119,Norton Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
119,Norton Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
119,Norton Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
119,Norton Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
119,Norton Public Schools,5.10276E+11,20,J.I. Burton High,8,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Brad  Hart ,109 11th St,,Norton,VA,24273,276-679-2554,Membership,,
119,Norton Public Schools,5.10276E+11,40,Norton Elementary,PK,7,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Scott  Addison ,205 E Park Ave,,Norton,VA,24273,276-679-0971,Membership,,
119,Norton Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,,Non-Membership,,
67,Nottoway County Public Schools,5.10279E+11,340,Blackstone Primary,PK,4,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Carrie  Gravely ,615 East Street,,Blackstone,VA,23824,434-292-5300,Membership,,
67,Nottoway County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
67,Nottoway County Public Schools,5.10279E+11,330,Crewe Primary,PK,4,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Lloyd  Page Jr.,1953 Sunnyside Rd,,Crewe,VA,23930,434-645-8149,Membership,,
67,Nottoway County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
67,Nottoway County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,434-645-9596,Non-Membership,,
67,Nottoway County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
67,Nottoway County Public Schools,5.10279E+11,301,Nottoway High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Reginald  Wilson ,5267 Old Nottoway Rd,,Crewe,VA,23930,434-292-5373,Membership,,
67,Nottoway County Public Schools,5.10279E+11,300,Nottoway Intermediate,5,6,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Chandra  Lewis ,5285 Old Nottoway Road,,Crewe,VA,23930,434-292-5353,Membership,,
67,Nottoway County Public Schools,5.10279E+11,302,Nottoway Middle,7,8,Local Education Agency,Public school - Regular,Middle,6 period,Mrs. Jane  Geyer ,5279 Old Nottoway Road,,Crewe,VA,23930,434-292-5375,Membership,,
67,Nottoway County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,434-645-9596,Non-Membership,,
68,Orange County Public Schools,,9990,Community PK School,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
68,Orange County Public Schools,5.10282E+11,360,Gordon-Barbour Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Dominic  Sodano ,500 W Baker Street,,Gordonsville,VA,22942,540-661-4500,Membership,,
68,Orange County Public Schools,,9991,Home Educational Services,,,Local Education Agency,Public center - Alternative,,,   ,,,,,,,Non-Membership,,
68,Orange County Public Schools,,9999,Homebased,,,Local Education Agency,Public center - Alternative,,,   ,200 Dailey Drive,,Orange,VA,22960,540-661-4555,Non-Membership,,
68,Orange County Public Schools,,9998,Homebound,,,Local Education Agency,Public center - Alternative,,,   ,200 Dailey Drive,,Orange,VA,22960,540-661-4555,Non-Membership,,
68,Orange County Public Schools,5.10282E+11,70,Lightfoot Elementary,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Merilee  Grubb ,11360 Zachary Taylor Hwy,,Unionville,VA,22567,540-661-4520,Membership,,
68,Orange County Public Schools,,9997,Local Or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 349,,Orange,VA,22960,540-672-3222,Membership,,
68,Orange County Public Schools,5.10282E+11,50,Locust Grove Elementary,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Eileen  Oliver-Eggert ,31208 Constitution Highway,,Locust Grove,VA,22508,540-661-4440,Membership,,
68,Orange County Public Schools,5.10282E+11,471,Locust Grove Middle,6,8,Local Education Agency,Public school - Regular,Middle,6 A/B,Todd  Satterwhite ,6368 Flat Run Road,,Locust Grove,VA,22508,540-661-4480,Membership,,
68,Orange County Public Schools,5.10282E+11,51,Locust Grove Primary,KG,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Lee  Finger ,31230 Constitution Highway,,Locust Grove,VA,22508,540-661-4420,Membership,,
